id,title,author,downloads
84,"Frankenstein; or, the modern prometheus","Shelley, Mary Wollstonecraft",169860
768,Wuthering Heights,"Brontë, Emily",117925
2701,"Moby Dick; Or, The Whale","Melville, Herman",116573
1342,Pride and Prejudice,"Austen, Jane",92780
11,Alice's Adventures in Wonderland,"Carroll, Lewis",59506
43,The strange case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",55704
145,Middlemarch,"Eliot, George",55621
2641,A Room with a View,"Forster, E. M. (Edward Morgan)",55377
37106,"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May",52745
64317,The Great Gatsby,"Fitzgerald, F. Scott (Francis Scott)",51487
1260,Jane Eyre: An Autobiography,"Brontë, Charlotte",51271
2554,Crime and Punishment,"Dostoyevsky, Fyodor",50199
67979,The Blue Castle: a novel,"Montgomery, L. M. (Lucy Maud)",49911
16389,The Enchanted April,"Von Arnim, Elizabeth",43585
174,The Picture of Dorian Gray,"Wilde, Oscar",42401
1259,Twenty years after,"Dumas, Alexandre",41864
394,Cranford,"Gaskell, Elizabeth Cleghorn",41622
6761,The Adventures of Ferdinand Count Fathom — Complete,"Smollett, T. (Tobias)",40734
2160,The Expedition of Humphry Clinker,"Smollett, T. (Tobias)",40492
4085,The Adventures of Roderick Random,"Smollett, T. (Tobias)",39271
6593,"History of Tom Jones, a Foundling","Fielding, Henry",39204
8492,The King in Yellow,"Chambers, Robert W. (Robert William)",38701
345,Dracula,"Stoker, Bram",38632
76,Adventures of Huckleberry Finn,"Twain, Mark",38022
98,A Tale of Two Cities,"Dickens, Charles",36769
1184,The Count of Monte Cristo,"Dumas, Alexandre",34479
28054,The Brothers Karamazov,"Dostoyevsky, Fyodor",31896
1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",28773
36034,"White nights, and other stories","Dostoyevsky, Fyodor",26663
25344,The Scarlet Letter,"Hawthorne, Nathaniel",26418
74,"The Adventures of Tom Sawyer, Complete","Twain, Mark",25140
45,Anne of Green Gables,"Montgomery, L. M. (Lucy Maud)",24614
1400,Great Expectations,"Dickens, Charles",24542
1952,The Yellow Wallpaper,"Gilman, Charlotte Perkins",24101
2600,War and Peace,"Tolstoy, Leo, graf",23619
